阈值 t_1 h_1 t_2 h_2 t_3 h_3                                                                                                                      
9 92.00% 7.10% 96.00% 7.00% 92.00% 5.20%                                                                                                                      
10 95.00% 7.30% 99.00% 7.10% 94.00% 5.30%                                                                                                                      
                                                                                                                            
阈值 t_95 h_95 t_96 h_96 t_97 h_97                                                                                                                      
1 71.00% 0.90% 74.00% 0.60% 72.00% 2.30%                                                                                                                      
2 72.00% 1.50% 76.00% 1.70% 77.00% 3.70%                                                                                                                      
3 73.00% 4.90% 80.00% 4.00% 80.00% 4.30%                                                                                                                      
4 74.00% 5.20% 83.00% 4.50% 82.00% 5.60%                                                                                                                      
5 77.00% 6.20% 84.00% 4.70% 83.00% 5.90%                                                                                                                      
6 79.00% 6.60% 90.00% 5.00% 86.00% 6.00%                                                                                                                      
7 84.00% 7.40% 93.00% 5.10% 87.00% 6.70%                                                                                                                      
8 90.00% 7.60% 94.00% 6.50% 91.00% 6.90%                                                                                                                      
9 92.00% 8.20% 96.00% 7.30% 93.00% 7.60%                                                                                                                      
10 94.00% 8.50% 97.00% 7.60% 95.00% 8.50%                                                                                                                      
                                                                                                                            
阈值 t_98 h_98 t_99 h_99 t_100 h_100                                                                                                                      
1 79.00% 1.10% 75.00% 1.10% 71.00% 1.60%                                                                                                                      
2 81.00% 1.50% 77.00% 1.30% 78.00% 2.40%                                                                                                                      
3 83.00% 2.30% 80.00% 2.00% 80.00% 2.80%                                                                                                                      
4 85.00% 2.40% 84.00% 2.30% 81.00% 4.00%                                                                                                                      
5 86.00% 3.20% 85.00% 2.60% 84.00% 4.30%                                                                                                                      
6 87.00% 3.40% 86.00% 4.10% 86.00% 5.20%                                                                                                                      
7 92.00% 3.60% 89.00% 4.80% 87.00% 5.30%                                                                                                                      
8 94.00% 4.90% 91.00% 4.90% 88.00% 6.40%                                                                                                                      
9 95.00% 5.60% 93.00% 5.00% 90.00% 6.90%                                                                                                                      
10 99.00% 7.20% 94.00% 5.60% 91.00% 8.40%                                                                                                                      
